Paraúna ;5216403;;;;"INSERT INTO municipio_codigo VALUES('Paraúna ','5216403');";
Perolândia ;5216452;;;;"INSERT INTO municipio_codigo VALUES('Perolândia ','5216452');";
Petrolina de Goiás ;5216809;;;;"INSERT INTO municipio_codigo VALUES('Petrolina de Goiás ','5216809');";
Pilar de Goiás ;5216908;;;;"INSERT INTO municipio_codigo VALUES('Pilar de Goiás ','5216908');";
Piracanjuba ;5217104;;;;"INSERT INTO municipio_codigo VALUES('Piracanjuba ','5217104');";
Piranhas ;5217203;;;;"INSERT INTO municipio_codigo VALUES('Piranhas ','5217203');";
Pirenópolis ;5217302;;;;"INSERT INTO municipio_codigo VALUES('Pirenópolis ','5217302');";
Pires do Rio ;5217401;;;;"INSERT INTO municipio_codigo VALUES('Pires do Rio ','5217401');";
Planaltina ;5217609;;;;"INSERT INTO municipio_codigo VALUES('Planaltina ','5217609');";
Pontalina ;5217708;;;;"INSERT INTO municipio_codigo VALUES('Pontalina ','5217708');";
Porangatu ;5218003;;;;"INSERT INTO municipio_codigo VALUES('Porangatu ','5218003');";
Porteirão ;5218052;;;;"INSERT INTO municipio_codigo VALUES('Porteirão ','5218052');";
Portelândia ;5218102;;;;"INSERT INTO municipio_codigo VALUES('Portelândia ','5218102');";
Posse ;5218300;;;;"INSERT INTO municipio_codigo VALUES('Posse ','5218300');";
Professor Jamil ;5218391;;;;"INSERT INTO municipio_codigo VALUES('Professor Jamil ','5218391');";
Quirinópolis ;5218508;;;;"INSERT INTO municipio_codigo VALUES('Quirinópolis ','5218508');";
Rialma ;5218607;;;;"INSERT INTO municipio_codigo VALUES('Rialma ','5218607');";
Rianápolis ;5218706;;;;"INSERT INTO municipio_codigo VALUES('Rianápolis ','5218706');";
Rio Quente ;5218789;;;;"INSERT INTO municipio_codigo VALUES('Rio Quente ','5218789');";
Rio Verde ;5218805;;;;"INSERT INTO municipio_codigo VALUES('Rio Verde ','5218805');";
Rubiataba ;5218904;;;;"INSERT INTO municipio_codigo VALUES('Rubiataba ','5218904');";
Sanclerlândia ;5219001;;;;"INSERT INTO municipio_codigo VALUES('Sanclerlândia ','5219001');";
Santa Bárbara de Goiás ;5219100;;;;"INSERT INTO municipio_codigo VALUES('Santa Bárbara de Goiás ','5219100');";
Santa Cruz de Goiás ;5219209;;;;"INSERT INTO municipio_codigo VALUES('Santa Cruz de Goiás ','5219209');";
Santa Fé de Goiás ;5219258;;;;"INSERT INTO municipio_codigo VALUES('Santa Fé de Goiás ','5219258');";
Santa Helena de Goiás ;5219308;;;;"INSERT INTO municipio_codigo VALUES('Santa Helena de Goiás ','5219308');";
Santa Isabel ;5219357;;;;"INSERT INTO municipio_codigo VALUES('Santa Isabel ','5219357');";
Santa Rita do Araguaia ;5219407;;;;"INSERT INTO municipio_codigo VALUES('Santa Rita do Araguaia ','5219407');";
Santa Rita do Novo Destino ;5219456;;;;"INSERT INTO municipio_codigo VALUES('Santa Rita do Novo Destino ','5219456');";
Santa Rosa de Goiás ;5219506;;;;"INSERT INTO municipio_codigo VALUES('Santa Rosa de Goiás ','5219506');";
Santa Tereza de Goiás ;5219605;;;;"INSERT INTO municipio_codigo VALUES('Santa Tereza de Goiás ','5219605');";
Santa Terezinha de Goiás ;5219704;;;;"INSERT INTO municipio_codigo VALUES('Santa Terezinha de Goiás ','5219704');";
Santo Antônio da Barra ;5219712;;;;"INSERT INTO municipio_codigo VALUES('Santo Antônio da Barra ','5219712');";
Santo Antônio de Goiás ;5219738;;;;"INSERT INTO municipio_codigo VALUES('Santo Antônio de Goiás ','5219738');";
Santo Antônio do Descoberto ;5219753;;;;"INSERT INTO municipio_codigo VALUES('Santo Antônio do Descoberto ','5219753');";
São Domingos ;5219803;;;;"INSERT INTO municipio_codigo VALUES('São Domingos ','5219803');";
São Francisco de Goiás ;5219902;;;;"INSERT INTO municipio_codigo VALUES('São Francisco de Goiás ','5219902');";
São João da Paraúna ;5220058;;;;"INSERT INTO municipio_codigo VALUES('São João da Paraúna ','5220058');";
São João d`Aliança ;5220009;;;;"INSERT INTO municipio_codigo VALUES('São João d`Aliança ','5220009');";
São Luís de Montes Belos ;5220108;;;;"INSERT INTO municipio_codigo VALUES('São Luís de Montes Belos ','5220108');";
São Luíz do Norte ;5220157;;;;"INSERT INTO municipio_codigo VALUES('São Luíz do Norte ','5220157');";
São Miguel do Araguaia ;5220207;;;;"INSERT INTO municipio_codigo VALUES('São Miguel do Araguaia ','5220207');";
São Miguel do Passa Quatro ;5220264;;;;"INSERT INTO municipio_codigo VALUES('São Miguel do Passa Quatro ','5220264');";
São Patrício ;5220280;;;;"INSERT INTO municipio_codigo VALUES('São Patrício ','5220280');";
São Simão ;5220405;;;;"INSERT INTO municipio_codigo VALUES('São Simão ','5220405');";
Senador Canedo ;5220454;;;;"INSERT INTO municipio_codigo VALUES('Senador Canedo ','5220454');";
Serranópolis ;5220504;;;;"INSERT INTO municipio_codigo VALUES('Serranópolis ','5220504');";
Silvânia ;5220603;;;;"INSERT INTO municipio_codigo VALUES('Silvânia ','5220603');";
Simolândia ;5220686;;;;"INSERT INTO municipio_codigo VALUES('Simolândia ','5220686');";
Sítio d`Abadia ;5220702;;;;"INSERT INTO municipio_codigo VALUES('Sítio d`Abadia ','5220702');";
